GeoType,NTAType,GeogName,GeoID,Borough,Pop_1E_TotalPop,MdHHIncE,MdEarningperWrkE,Hsp1E,Hsp1P-Hispanic,WtNHE,WtNHPWhite,BlNHE,BlNHP-Black,AIANNHE,AIANNHP-Am-Ind,AsnNHE,AsnNHP-Asian,NHPINHE,NHPINHP-NatHawaii-Pac-Is,OthNHE,OthNHP-Other,Rc2plNHE,Rc2plNHP-2more,EA_Pop25olderplE,EA_HScGrdE,EA_HScGrdP,EA_BchDHE,EA_BachandHigherDHP
NTA2020,0,Greenpoint,BK0101,Brooklyn,"37,518",111887,"66,034","5,498",14.7,"27,273",72.7,937,2.5,22,0.1,"1,464",3.9,0,,210,0.6,"2,114",5.6,"30,752","4,446",14.5,"19,369",63
NTA2020,0,Williamsburg,BK0102,Brooklyn,"63,316",120986,"71,125","18,908",29.9,"34,827",55,"1,395",2.2,11,0,"4,905",7.7,0,,248,0.4,"3,022",4.8,"47,384","6,721",14.2,"29,421",62.1
NTA2020,0,South Williamsburg,BK0103,Brooklyn,"47,065",32704,"21,915","3,957",8.4,"40,619",86.3,"1,571",3.3,0,,237,0.5,0,,264,0.6,417,0.9,"18,556","7,312",39.4,"2,712",14.6
NTA2020,0,East Williamsburg,BK0104,Brooklyn,"53,478",66540,"50,269","20,099",37.6,"20,302",38,"6,439",12,58,0.1,"4,865",9.1,0,,172,0.3,"1,543",2.9,"39,348","7,230",18.4,"17,262",43.9
NTA2020,0,Brooklyn Heights,BK0201,Brooklyn,"24,775",171607,"100,000","1,722",7,"18,465",74.5,"1,337",5.4,78,0.3,"1,846",7.5,0,,73,0.3,"1,254",5.1,"18,637",698,3.7,"16,111",86.4
NTA2020,0,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,Brooklyn,"38,546",130750,"88,685","6,002",15.6,"18,001",46.7,"5,868",15.2,39,0.1,"6,764",17.5,26,0.1,192,0.5,"1,654",4.3,"28,523","3,262",11.4,"20,587",72.2
NTA2020,0,Fort Greene,BK0203,Brooklyn,"35,051",92474,"60,655","5,635",16.1,"11,964",34.1,"10,579",30.2,193,0.6,"3,771",10.8,0,,410,1.2,"2,499",7.1,"25,348","3,353",13.2,"14,555",57.4
NTA2020,0,Clinton Hill,BK0204,Brooklyn,"27,368",107899,"68,931","3,659",13.4,"12,812",46.8,"7,539",27.5,14,0.1,"1,949",7.1,0,,105,0.4,"1,290",4.7,"20,720","1,836",8.9,"14,948",72.1
NTA2020,0,Bedford-Stuyvesant (West),BK0301,Brooklyn,"89,224",68009,"45,050","17,365",19.5,"33,954",38.1,"31,086",34.8,57,0.1,"3,286",3.7,22,0,197,0.2,"3,257",3.7,"58,440","12,200",20.9,"26,959",46.1
NTA2020,0,Bedford-Stuyvesant (East),BK0302,Brooklyn,"92,298",65789,"44,834","15,285",16.6,"14,299",15.5,"55,966",60.6,81,0.1,"2,832",3.1,21,0,189,0.2,"3,625",3.9,"65,736","18,720",28.5,"25,929",39.4
NTA2020,0,Bushwick (West),BK0401,Brooklyn,"55,156",79378,"40,130","29,472",53.4,"16,517",29.9,"3,134",5.7,113,0.2,"4,056",7.4,15,0,464,0.8,"1,385",2.5,"40,311","7,667",19,"17,504",43.4
NTA2020,0,Bushwick (East),BK0402,Brooklyn,"62,987",58615,"36,420","31,599",50.2,"10,598",16.8,"15,746",25,76,0.1,"2,619",4.2,1,0,930,1.5,"1,418",2.3,"43,067","11,071",25.7,"12,206",28.3
NTA2020,0,Cypress Hills,BK0501,Brooklyn,"42,755",56443,"36,443","29,889",69.9,"1,804",4.2,"7,783",18.2,46,0.1,"1,883",4.4,7,0,548,1.3,795,1.9,"27,890","12,074",43.3,"4,324",15.5
NTA2020,0,East New York (North),BK0502,Brooklyn,"44,841",49140,"33,608","15,425",34.4,981,2.2,"25,051",55.9,38,0.1,"1,488",3.3,0,,253,0.6,"1,605",3.6,"28,122","12,130",43.1,"3,924",14
NTA2020,0,East New York-New Lots,BK0503,Brooklyn,"52,314",45249,"35,319","12,724",24.3,961,1.8,"36,401",69.6,29,0.1,733,1.4,27,0.1,715,1.4,724,1.4,"34,656","13,720",39.6,"5,650",16.3
NTA2020,0,Spring Creek-Starrett City,BK0504,Brooklyn,"15,917",33309,"37,820","2,479",15.6,"2,460",15.5,"9,950",62.5,0,,438,2.8,0,,142,0.9,448,2.8,"11,388","4,725",41.5,"2,298",20.2
NTA2020,0,East New York-City Line,BK0505,Brooklyn,"48,572",37521,"32,893","12,605",26,"1,341",2.8,"28,313",58.3,11,0,"4,566",9.4,140,0.3,541,1.1,"1,055",2.2,"30,034","15,177",50.5,"4,074",13.6
NTA2020,0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,Brooklyn,"63,167",116386,"73,501","11,423",18.1,"34,594",54.8,"9,340",14.8,64,0.1,"3,540",5.6,653,1,611,1,"2,942",4.7,"45,343","5,254",11.6,"29,996",66.2
NTA2020,0,Park Slope,BK0602,Brooklyn,"60,202",174224,"91,335","7,391",12.3,"41,075",68.2,"3,000",5,40,0.1,"5,278",8.8,13,0,268,0.4,"3,137",5.2,"45,327","2,187",4.8,"37,084",81.8
NTA2020,0,Windsor Terrace-South Slope,BK0701,Brooklyn,"27,023",121706,"76,216","3,841",14.2,"18,575",68.7,689,2.5,0,,"2,626",9.7,0,,173,0.6,"1,119",4.1,"19,841","2,515",12.7,"13,943",70.3
NTA2020,0,Sunset Park (West),BK0702,Brooklyn,"53,050",75881,"38,542","30,625",57.7,"12,570",23.7,"2,217",4.2,19,0,"6,066",11.4,19,0,151,0.3,"1,383",2.6,"36,865","7,869",21.3,"12,653",34.3
NTA2020,0,Sunset Park (Central),BK0703,Brooklyn,"46,012",55880,"26,200","14,952",32.5,"4,335",9.4,979,2.1,219,0.5,"24,983",54.3,0,,88,0.2,456,1,"31,661","7,168",22.6,"6,173",19.5
NTA2020,0,Prospect Heights,BK0801,Brooklyn,"24,082",136840,"79,107","2,116",8.8,"13,646",56.7,"4,794",19.9,4,0,"1,758",7.3,0,,43,0.2,"1,721",7.1,"19,475","1,537",7.9,"14,674",75.3
NTA2020,0,Crown Heights (North),BK0802,Brooklyn,"87,451",61171,"45,006","11,937",13.6,"18,542",21.2,"49,596",56.7,143,0.2,"2,770",3.2,0,,720,0.8,"3,743",4.3,"64,596","14,450",22.4,"27,002",41.8
NTA2020,0,Crown Heights (South),BK0901,Brooklyn,"51,880",62324,"37,021","5,435",10.5,"16,149",31.1,"28,711",55.3,0,,489,0.9,0,,371,0.7,725,1.4,"35,163","8,352",23.8,"12,815",36.4
NTA2020,0,Prospect Lefferts Gardens-Wingate,BK0902,Brooklyn,"48,477",63625,"44,873","4,087",8.4,"11,982",24.7,"28,690",59.2,17,0,"1,539",3.2,0,,292,0.6,"1,870",3.9,"36,245","8,907",24.6,"14,573",40.2
NTA2020,0,Bay Ridge,BK1001,Brooklyn,"85,796",82811,"53,510","16,912",19.7,"50,351",58.7,"2,730",3.2,83,0.1,"13,135",15.3,14,0,306,0.4,"2,265",2.6,"63,331","11,947",18.9,"31,367",49.5
NTA2020,0,Dyker Heights,BK1002,Brooklyn,"43,548",67470,"32,661","5,807",13.3,"17,638",40.5,628,1.4,105,0.2,"18,895",43.4,0,,32,0.1,443,1,"31,173","9,022",28.9,"10,364",33.2
NTA2020,0,Bensonhurst,BK1101,Brooklyn,"102,241",58505,"30,228","18,472",18.1,"38,963",38.1,576,0.6,566,0.6,"40,663",39.8,0,,396,0.4,"2,605",2.5,"72,300","17,866",24.7,"22,195",30.7
NTA2020,0,Bath Beach,BK1102,Brooklyn,"33,765",67951,"41,689","5,137",15.2,"14,995",44.4,765,2.3,12,0,"11,154",33,3,0,43,0.1,"1,656",4.9,"23,483","5,777",24.6,"8,478",36.1
NTA2020,0,Gravesend (West),BK1103,Brooklyn,"60,810",64136,"35,375","7,835",12.9,"23,937",39.4,958,1.6,46,0.1,"25,894",42.6,0,,324,0.5,"1,816",3,"42,647","12,024",28.2,"13,444",31.5
NTA2020,0,Sunset Park (East)-Borough Park (West),BK1201,Brooklyn,"30,773",47146,"25,624","7,509",24.4,"6,230",20.2,919,3,0,,"15,320",49.8,0,,460,1.5,335,1.1,"20,540","5,351",26.1,"4,407",21.5
NTA2020,0,Borough Park,BK1202,Brooklyn,"84,493",45383,"27,418","6,556",7.8,"69,009",81.7,531,0.6,32,0,"5,924",7,0,,"1,613",1.9,828,1,"37,405","15,040",40.2,"8,089",21.6
NTA2020,0,Kensington,BK1203,Brooklyn,"39,486",71004,"43,311","6,490",16.4,"18,596",47.1,"3,094",7.8,35,0.1,"9,512",24.1,0,,135,0.3,"1,624",4.1,"26,890","5,504",20.5,"13,062",48.6
NTA2020,0,Mapleton-Midwood (West),BK1204,Brooklyn,"38,337",66953,"34,579","3,614",9.4,"29,070",75.8,502,1.3,0,,"4,172",10.9,9,0,278,0.7,692,1.8,"22,620","6,211",27.5,"7,977",35.3
NTA2020,0,Gravesend (South),BK1301,Brooklyn,"29,353",48891,"39,522","4,666",15.9,"14,199",48.4,"3,056",10.4,26,0.1,"6,339",21.6,0,,332,1.1,735,2.5,"21,068","5,556",26.4,"7,253",34.4
NTA2020,0,Coney Island-Sea Gate,BK1302,Brooklyn,"51,871",38033,"36,986","9,809",18.9,"27,178",52.4,"9,140",17.6,137,0.3,"4,153",8,0,,6,0,"1,448",2.8,"37,865","10,787",28.5,"13,972",36.9
NTA2020,0,Brighton Beach,BK1303,Brooklyn,"31,295",44046,"34,297","3,839",12.3,"22,373",71.5,263,0.8,0,,"2,625",8.4,0,,204,0.7,"1,991",6.4,"23,531","4,792",20.4,"11,891",50.5
NTA2020,0,Flatbush,BK1401,Brooklyn,"69,495",69617,"42,293","12,351",17.8,"10,975",15.8,"40,560",58.4,8,0,"2,879",4.1,0,,290,0.4,"2,432",3.5,"49,470","14,997",30.3,"16,193",32.7
NTA2020,0,Flatbush (West)-Ditmas Park-Parkville,BK1402,Brooklyn,"42,020",77139,"47,992","7,525",17.9,"17,059",40.6,"8,097",19.3,0,,"7,587",18.1,0,,416,1,"1,336",3.2,"29,448","5,879",20,"13,286",45.1
NTA2020,0,Midwood,BK1403,Brooklyn,"53,963",64024,"39,934","4,046",7.5,"37,186",68.9,"3,025",5.6,0,,"7,468",13.8,36,0.1,621,1.2,"1,581",2.9,"34,640","6,391",18.4,"16,989",49
NTA2020,0,Gravesend (East)-Homecrest,BK1501,Brooklyn,"53,438",64980,"40,350","6,744",12.6,"35,620",66.7,"1,277",2.4,84,0.2,"7,412",13.9,0,,944,1.8,"1,357",2.5,"34,973","8,989",25.7,"14,059",40.2
NTA2020,0,Madison,BK1502,Brooklyn,"42,801",74474,"47,216","3,174",7.4,"26,058",60.9,"1,321",3.1,24,0.1,"10,675",24.9,42,0.1,49,0.1,"1,458",3.4,"30,145","8,491",28.2,"12,230",40.6
NTA2020,0,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,BK1503,Brooklyn,"68,331",72203,"50,248","5,903",8.6,"42,914",62.8,"4,302",6.3,48,0.1,"13,047",19.1,0,,186,0.3,"1,931",2.8,"50,857","13,368",26.3,"21,116",41.5
NTA2020,0,Ocean Hill,BK1601,Brooklyn,"40,043",44077,"40,180","8,898",22.2,"3,300",8.2,"26,230",65.5,112,0.3,480,1.2,0,,263,0.7,760,1.9,"26,274","9,378",35.7,"6,089",23.2
NTA2020,0,Brownsville,BK1602,Brooklyn,"49,099",24233,"30,144","11,334",23.1,873,1.8,"34,036",69.3,49,0.1,714,1.5,44,0.1,187,0.4,"1,862",3.8,"34,787","12,719",36.6,"4,151",11.9
NTA2020,0,East Flatbush-Erasmus,BK1701,Brooklyn,"45,024",61554,"40,985","3,082",6.8,"2,942",6.5,"35,687",79.3,198,0.4,966,2.1,0,,437,1,"1,712",3.8,"32,039","11,636",36.3,"10,011",31.2
NTA2020,0,East Flatbush-Farragut,BK1702,Brooklyn,"35,993",68619,"43,096","3,138",8.7,747,2.1,"28,886",80.3,28,0.1,903,2.5,19,0.1,180,0.5,"2,092",5.8,"26,340","8,363",31.8,"7,165",27.2
NTA2020,0,East Flatbush-Rugby,BK1703,Brooklyn,"40,186",64407,"40,284","2,548",6.3,"1,283",3.2,"34,330",85.4,62,0.2,529,1.3,0,,111,0.3,"1,323",3.3,"29,528","10,287",34.8,"7,713",26.1
NTA2020,0,East Flatbush-Remsen Village,BK1704,Brooklyn,"37,761",47806,"37,344","2,153",5.7,"1,288",3.4,"31,739",84.1,0,,188,0.5,0,,415,1.1,"1,978",5.2,"27,245","9,463",34.7,"6,074",22.3
NTA2020,0,Flatlands,BK1801,Brooklyn,"71,676",76727,"42,600","6,259",8.7,"11,131",15.5,"47,066",65.7,95,0.1,"3,729",5.2,0,,634,0.9,"2,762",3.9,"49,562","14,647",29.6,"15,601",31.5
NTA2020,0,Marine Park-Mill Basin-Bergen Beach,BK1802,Brooklyn,"46,698",99754,"58,053","3,608",7.7,"29,185",62.5,"6,747",14.4,129,0.3,"5,322",11.4,0,,273,0.6,"1,434",3.1,"32,775","8,824",26.9,"13,745",41.9
NTA2020,0,Canarsie,BK1803,Brooklyn,"90,185",74176,"44,373","7,881",8.7,"3,903",4.3,"72,612",80.5,117,0.1,"2,164",2.4,0,,350,0.4,"3,158",3.5,"61,684","19,809",32.1,"17,837",28.9
NTA2020,0,Mott Haven-Port Morris,BX0101,Bronx,"54,828",24500,"25,327","38,153",69.6,"1,620",3,"14,278",26,44,0.1,146,0.3,0,,268,0.5,319,0.6,"33,829","9,355",27.7,"4,209",12.4
NTA2020,0,Melrose,BX0102,Bronx,"42,674",25173,"26,541","29,951",70.2,836,2,"11,087",26,6,0,310,0.7,8,0,165,0.4,311,0.7,"25,470","7,426",29.2,"3,417",13.4
NTA2020,0,Hunts Point,BX0201,Bronx,"14,509",31657,"28,543","10,419",71.8,256,1.8,"3,550",24.5,183,1.3,25,0.2,0,,53,0.4,23,0.2,"8,946","3,046",34,"1,198",13.4
NTA2020,0,Longwood,BX0202,Bronx,"40,395",34093,"27,726","29,481",73,907,2.2,"9,351",23.1,0,,218,0.5,0,,102,0.3,336,0.8,"25,011","6,728",26.9,"3,628",14.5
NTA2020,0,Morrisania,BX0301,Bronx,"35,703",29273,"27,055","19,832",55.5,513,1.4,"14,145",39.6,47,0.1,269,0.8,0,,384,1.1,513,1.4,"22,338","5,571",24.9,"2,922",13.1
NTA2020,0,Claremont Village-Claremont (East),BX0302,Bronx,"24,648",29969,"23,829","11,649",47.3,281,1.1,"12,259",49.7,0,,10,0,0,,39,0.2,410,1.7,"14,258","4,387",30.8,"1,404",9.8
NTA2020,0,Crotona Park East,BX0303,Bronx,"29,120",36533,"29,008","18,076",62.1,233,0.8,"9,949",34.2,20,0.1,159,0.5,0,,344,1.2,339,1.2,"19,066","5,427",28.5,"3,147",16.5
NTA2020,0,Concourse-Concourse Village,BX0401,Bronx,"68,876",37891,"30,367","40,901",59.4,"2,364",3.4,"23,188",33.7,246,0.4,"1,198",1.7,0,,359,0.5,620,0.9,"45,892","13,297",29,"7,273",15.8
NTA2020,0,Highbridge,BX0402,Bronx,"33,144",36374,"28,479","20,471",61.8,909,2.7,"10,793",32.6,0,,146,0.4,0,,336,1,489,1.5,"19,874","5,597",28.2,"3,212",16.2
NTA2020,0,Mount Eden-Claremont (West),BX0403,Bronx,"52,923",36677,"25,355","37,576",71,"1,278",2.4,"12,385",23.4,68,0.1,462,0.9,74,0.1,468,0.9,612,1.2,"33,042","9,748",29.5,"5,231",15.8
NTA2020,0,University Heights (South)-Morris Heights,BX0501,Bronx,"55,415",33247,"26,017","38,080",68.7,"1,062",1.9,"13,923",25.1,0,,"1,308",2.4,17,0,212,0.4,813,1.5,"34,709","9,882",28.5,"5,197",15
NTA2020,0,Mount Hope,BX0502,Bronx,"48,934",39522,"25,670","31,595",64.6,792,1.6,"14,564",29.8,55,0.1,484,1,1,0,483,1,960,2,"29,909","8,664",29,"4,300",14.4
NTA2020,0,Fordham Heights,BX0503,Bronx,"33,865",38120,"24,735","25,564",75.5,311,0.9,"6,791",20.1,142,0.4,375,1.1,0,,60,0.2,622,1.8,"19,857","5,815",29.3,"2,093",10.5
NTA2020,0,West Farms,BX0601,Bronx,"18,633",24803,"22,499","13,672",73.4,388,2.1,"4,169",22.4,117,0.6,102,0.5,77,0.4,37,0.2,71,0.4,"11,418","3,063",26.8,"1,148",10.1
NTA2020,0,Tremont,BX0602,Bronx,"32,097",28480,"27,268","20,032",62.4,397,1.2,"11,070",34.5,5,0,149,0.5,0,,12,0,432,1.3,"19,652","5,415",27.6,"3,053",15.5
NTA2020,0,Belmont,BX0603,Bronx,"35,619",28588,"21,068","21,803",61.2,"4,536",12.7,"7,682",21.6,51,0.1,751,2.1,0,,103,0.3,693,1.9,"18,978","5,153",27.2,"2,640",13.9
NTA2020,0,University Heights (North)-Fordham,BX0701,Bronx,"47,047",38585,"25,981","38,644",82.1,"1,163",2.5,"5,261",11.2,96,0.2,954,2,0,,604,1.3,325,0.7,"30,738","9,541",31,"4,369",14.2
NTA2020,0,Bedford Park,BX0702,Bronx,"56,967",43134,"28,017","42,766",75.1,"2,768",4.9,"8,031",14.1,314,0.6,"2,496",4.4,0,,324,0.6,268,0.5,"36,684","10,345",28.2,"5,944",16.2
NTA2020,0,Norwood,BX0703,Bronx,"41,357",40265,"30,916","25,088",60.7,"4,356",10.5,"6,135",14.8,400,1,"4,725",11.4,0,,97,0.2,556,1.3,"26,901","7,372",27.4,"5,995",22.3
NTA2020,0,Kingsbridge Heights-Van Cortlandt Village,BX0801,Bronx,"36,201",49223,"29,022","25,741",71.1,"3,335",9.2,"5,252",14.5,0,,"1,201",3.3,34,0.1,52,0.1,586,1.6,"24,850","5,477",22,"6,175",24.8
NTA2020,0,Kingsbridge-Marble Hill,BX0802,Bronx,"26,452",48393,"31,227","17,739",67.1,"4,115",15.6,"3,001",11.3,226,0.9,807,3.1,0,,186,0.7,378,1.4,"17,748","4,139",23.3,"5,212",29.4
NTA2020,0,Riverdale-Spuyten Duyvil,BX0803,Bronx,"47,309",102965,"61,550","11,815",25,"27,063",57.2,"4,302",9.1,0,,"2,040",4.3,0,,503,1.1,"1,586",3.4,"34,547","4,887",14.1,"21,512",62.3
NTA2020,0,Soundview-Bruckner-Bronx River,BX0901,Bronx,"68,566",37676,"30,524","43,697",63.7,"1,415",2.1,"18,234",26.6,74,0.1,"2,884",4.2,37,0.1,"1,080",1.6,"1,145",1.7,"44,290","13,251",29.9,"6,950",15.7
