GeoType,CDTAType,GeogName,GeogNamenoID,Neighborhood,GeoID,Borough,MedianHHIncome,TotalPopulation,LatinXP,WhiteP,BlackP,AmericanIndianP,AsianP,NativeHawaiiP,OtherP,TwoMoreP,
CDTA2020,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),Williamsburg-Greenpoint (CD 1 Equivalent),Williamsburg-Greenpoint,BK01,Brooklyn,"86,769","201,377",24.1,61.1,5.1,0.0,5.7,,0.4,3.5,
CDTA2020,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Downtown Brooklyn-Fort Greene (CD 2 Approximation),Downtown Brooklyn-Fort Greene,BK02,Brooklyn,"122,734","125,740",13.5,48.7,20.1,0.3,11.4,0.0,0.6,5.3,
CDTA2020,CD,BK03 Bedford-Stuyvesant (CD 3 Approximation),Bedford-Stuyvesant (CD 3 Approximation),Bedford-Stuyvesant,BK03,Brooklyn,"66,804","181,522",18.0,26.6,48.0,0.1,3.4,0.0,0.2,3.8,
CDTA2020,CD,BK04 Bushwick (CD 4 Equivalent),Bushwick (CD 4 Equivalent),Bushwick,BK04,Brooklyn,"68,657","118,143",51.7,23.0,16.0,0.2,5.6,0.0,1.2,2.4,
CDTA2020,CD,BK05 East New York-Cypress Hills (CD 5 Approximation),East New York-Cypress Hills (CD 5 Approximation),East New York-Cypress Hills,BK05,Brooklyn,"44,358","204,399",35.8,3.7,52.6,0.1,4.5,0.1,1.1,2.3,
CDTA2020,CD,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Park Slope-Carroll Gardens (CD 6 Approximation),Park Slope-Carroll Gardens,BK06,Brooklyn,"146,573","123,369",15.3,61.3,10.0,0.1,7.1,0.5,0.7,4.9,
CDTA2020,CD,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),Sunset Park-Windsor Terrace (CD 7 Approximation),Sunset Park-Windsor Terrace,BK07,Brooklyn,"77,453","126,085",39.2,28.1,3.1,0.2,26.7,0.0,0.3,2.3,
CDTA2020,CD,BK08 Crown Heights North (CD 8 Approximation),Crown Heights North (CD 8 Approximation),Crown Heights North,BK08,Brooklyn,"74,613","111,533",12.6,28.9,48.8,0.1,4.1,,0.7,4.9,
CDTA2020,CD,BK09 Crown Heights South (CD 9 Approximation),Crown Heights South (CD 9 Approximation),Crown Heights South,BK09,Brooklyn,"62,962","100,357",9.5,28.0,57.2,0.0,2.0,,0.7,2.6,
CDTA2020,CD,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),Bay Ridge-Dyker Heights (CD 10 Approximation),Bay Ridge-Dyker Heights,BK10,Brooklyn,"78,136","130,654",17.5,52.5,2.9,0.1,24.6,0.0,0.3,2.1,
CDTA2020,CD,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),Bensonhurst-Bath Beach (CD 11 Approximation),Bensonhurst-Bath Beach,BK11,Brooklyn,"61,178","196,816",16.0,39.6,1.2,0.3,39.5,0.0,0.4,3.1,
CDTA2020,CD,BK12 Borough Park-Kensington (CD 12 Approximation),Borough Park-Kensington (CD 12 Approximation),Borough Park-Kensington,BK12,Brooklyn,"55,646","193,089",12.5,63.7,2.6,0.0,18.1,0.0,1.3,1.8,
CDTA2020,CD,BK13 Coney Island-Brighton Beach (CD 13 Approximation),Coney Island-Brighton Beach (CD 13 Approximation),Coney Island-Brighton Beach,BK13,Brooklyn,"42,160","112,519",16.3,56.7,11.1,0.1,11.7,,0.5,3.7,
CDTA2020,CD,BK14 Flatbush-Midwood (CD 14 Approximation),Flatbush-Midwood (CD 14 Approximation),Flatbush-Midwood,BK14,Brooklyn,"69,311","165,478",14.5,39.4,31.2,0.0,10.8,0.0,0.8,3.2,
CDTA2020,CD,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),Sheepshead Bay-Gravesend (East) (CD 15 Approximation),Sheepshead Bay-Gravesend,BK15,Brooklyn,"70,191","164,570",9.6,63.6,4.2,0.1,18.9,0.0,0.7,2.9,
CDTA2020,CD,BK16 Ocean Hill-Brownsville (CD 16 Approximation),Ocean Hill-Brownsville (CD 16 Approximation),Ocean Hill-Brownsville,BK16,Brooklyn,"32,958","89,142",22.7,4.7,67.6,0.2,1.3,0.0,0.5,2.9,
CDTA2020,CD,BK17 East Flatbush (CD 17 Approximation),East Flatbush (CD 17 Approximation),East Flatbush,BK17,Brooklyn,"59,083","158,988",6.9,3.9,82.2,0.2,1.6,0.0,0.7,4.5,
CDTA2020,CD,BK18 Canarsie-Flatlands (CD 18 Approximation),Canarsie-Flatlands (CD 18 Approximation),Canarsie-Flatlands,BK18,Brooklyn,"81,652","208,559",8.5,21.2,60.6,0.2,5.4,,0.6,3.5,
CDTA2020,JIA,BK55 Prospect Park (JIA 55 Approximation),Prospect Park (JIA 55 Approximation),Prospect Park,BK55,Brooklyn,,0,,,,,,,,,
CDTA2020,JIA,BK56 Jamaica Bay West (JIA 56 Approximation),Jamaica Bay West (JIA 56 Approximation),Jamaica Bay West,BK56,Brooklyn,"116,665",20,20.0,80.0,,,,,,,
CDTA2020,CD,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),Melrose-Mott Haven-Port Morris (CD 1 Approximation),Melrose-Mott Haven-Port Morris,BX01,Bronx,"24,741","97,502",69.8,2.5,26.0,0.1,0.5,0.0,0.4,0.6,
CDTA2020,CD,BX02 Longwood-Hunts Point (CD 2 Approximation),Longwood-Hunts Point (CD 2 Approximation),Longwood-Hunts Point,BX02,Bronx,"33,625","54,904",72.7,2.1,23.5,0.3,0.4,,0.3,0.7,
CDTA2020,CD,BX03 Morrisania-Crotona Park East (CD 3 Approximation),Morrisania-Crotona Park East (CD 3 Approximation),Morrisania-Crotona Park East,BX03,Bronx,"31,538","89,471",55.4,1.1,40.6,0.1,0.5,,0.9,1.4,
CDTA2020,CD,BX04 Highbridge-Concourse (CD 4 Approximation),Highbridge-Concourse (CD 4 Approximation),Highbridge-Concourse,BX04,Bronx,"37,022","154,943",63.9,2.9,29.9,0.2,1.2,0.0,0.8,1.1,
CDTA2020,CD,BX05 Morris Heights-Mount Hope (CD 5 Approximation),Morris Heights-Mount Hope (CD 5 Approximation),Morris Heights-Mount Hope,BX05,Bronx,"36,232","138,214",68.9,1.6,25.5,0.1,1.6,0.0,0.5,1.7,
CDTA2020,CD,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),Tremont-Belmont-West Farms (CD 6 Approximation),Tremont-Belmont-West Farms,BX06,Bronx,"27,663","86,349",64.3,6.2,26.5,0.2,1.2,0.1,0.2,1.4,
CDTA2020,CD,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),Fordham-Bedford Park-Norwood (CD 7 Approximation),Fordham-Bedford Park-Norwood,BX07,Bronx,"40,709","145,371",73.3,5.7,13.4,0.6,5.6,,0.7,0.8,
CDTA2020,CD,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),Riverdale-Kingsbridge-Marble Hill,BX08,Bronx,"67,135","109,962",50.3,31.4,11.4,0.2,3.7,0.0,0.7,2.3,
CDTA2020,CD,BX09 Soundview-Parkchester (CD 9 Approximation),Soundview-Parkchester (CD 9 Approximation),Soundview-Parkchester,BX09,Bronx,"46,086","175,231",58.2,2.5,27.6,0.4,8.3,0.0,1.4,1.6,
CDTA2020,CD,BX10 Co-op City-Throgs Neck (CD 10 Approximation),Co-op City-Throgs Neck (CD 10 Approximation),Co-op City-Throgs Neck,BX10,Bronx,"63,021","130,956",43.1,24.5,22.7,0.0,6.6,0.0,1.0,2.1,
CDTA2020,CD,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),Pelham Parkway-Morris Park (CD 11 Approximation),Pelham Parkway-Morris Park,BX11,Bronx,"59,832","121,138",46.0,21.1,22.0,0.2,7.7,0.0,0.9,2.1,
CDTA2020,CD,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),Wakefield-Williamsbridge-Eastchester,BX12,Bronx,"59,412","169,246",28.2,5.9,59.5,0.3,1.9,0.0,1.8,2.3,
CDTA2020,JIA,BX26 Van Cortlandt Park (JIA 26 Equivalent),Van Cortlandt Park (JIA 26 Equivalent),Van Cortlandt Park,BX26,Bronx,,0,,,,,,,,,
CDTA2020,JIA,BX27 Bronx Park (JIA 27 Approximation),Bronx Park (JIA 27 Approximation),Bronx Park,BX27,Bronx,"54,998",15,20.0,6.7,73.3,,,,,,
CDTA2020,JIA,BX28 Pelham Bay Park (JIA 28 Approximation),Pelham Bay Park (JIA 28 Approximation),Pelham Bay Park,BX28,Bronx,"12,916",52,11.5,28.8,59.6,,,,,,
CDTA2020,CD,MN01 Financial District-Tribeca (CD 1 Equivalent),Financial District-Tribeca (CD 1 Equivalent),Financial District-Tribeca,MN01,Manhattan,"200,000","72,255",8.5,64.5,3.8,0.0,18.2,,1.0,3.9,
CDTA2020,CD,MN02 Greenwich Village-SoHo (CD 2 Equivalent),Greenwich Village-SoHo (CD 2 Equivalent),Greenwich Village-SoHo,MN02,Manhattan,"137,884","87,858",8.1,71.8,2.4,0.0,14.3,,0.4,3.0,
CDTA2020,CD,MN03 Lower East Side-Chinatown (CD 3 Equivalent),Lower East Side-Chinatown (CD 3 Equivalent),Lower East Side-Chinatown,MN03,Manhattan,"50,373","157,101",23.8,34.9,8.1,0.3,29.4,0.0,0.4,3.0,
CDTA2020,CD,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),Chelsea-Hell's Kitchen (CD 4 Approximation),Chelsea-Hell's Kitchen,MN04,Manhattan,"104,671","117,930",18.9,57.0,5.0,0.0,14.8,0.1,0.6,3.6,
CDTA2020,CD,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),Midtown-Flatiron-Union Square (CD 5 Approximation),Midtown-Flatiron-Union Square,MN05,Manhattan,"146,659","49,302",11.7,58.4,5.8,0.2,19.1,0.2,0.6,4.0,
CDTA2020,CD,MN06 East Midtown-Murray Hill (CD 6 Approximation),East Midtown-Murray Hill (CD 6 Approximation),East Midtown-Murray Hill,MN06,Manhattan,"137,917","149,052",8.8,68.1,4.3,0.0,15.1,0.0,0.5,3.2,
CDTA2020,CD,MN07 Upper West Side (CD 7 Approximation),Upper West Side (CD 7 Approximation),Upper West Side,MN07,Manhattan,"127,940","221,646",15.2,65.1,5.7,0.0,9.9,,0.9,3.3,
CDTA2020,CD,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),Upper East Side-Roosevelt Island (CD 8 Equivalent),Upper East Side-Roosevelt Island,MN08,Manhattan,"137,455","217,279",9.0,74.6,2.8,0.1,10.5,0.1,0.3,2.6,
CDTA2020,CD,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),Morningside Heights-Hamilton Heights (CD 9 Equivalent),Morningside Heights-Hamilton Heights,MN09,Manhattan,"56,527","115,788",39.7,25.9,22.3,0.2,8.2,0.0,0.6,3.1,
CDTA2020,CD,MN10 Harlem (CD 10 Equivalent),Harlem (CD 10 Equivalent),Harlem,MN10,Manhattan,"55,718","133,831",23.5,15.7,53.0,0.1,3.8,0.0,0.7,3.1,
CDTA2020,CD,MN11 East Harlem (CD 11 Equivalent),East Harlem (CD 11 Equivalent),East Harlem,MN11,Manhattan,"35,571","126,338",43.5,14.4,30.7,0.1,8.2,0.0,1.2,1.9,
CDTA2020,CD,MN12 Washington Heights-Inwood (CD 12 Equivalent),Washington Heights-Inwood (CD 12 Equivalent),Washington Heights-Inwood,MN12,Manhattan,"61,452","208,994",67.9,19.9,6.6,0.1,3.1,0.0,0.5,1.9,
CDTA2020,JIA,MN64 Central Park (JIA 64 Equivalent),Central Park (JIA 64 Equivalent),Central Park,MN64,Manhattan,,0,,,,,,,,,
CDTA2020,CD,QN01 Astoria-Queensbridge (CD 1 Equivalent),Astoria-Queensbridge (CD 1 Equivalent),Astoria-Queensbridge,QN01,Queens,"79,471","179,025",26.4,47.7,7.3,0.2,14.1,0.0,0.7,3.6,
CDTA2020,CD,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),Long Island City-Sunnyside-Woodside (CD 2 Approximation),Long Island City-Sunnyside-Woodside,QN02,Queens,"83,093","123,037",31.0,30.0,1.7,0.1,34.0,0.0,0.5,2.8,
CDTA2020,CD,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),Jackson Heights-East Elmhurst (CD 3 Approximation),Jackson Heights-East Elmhurst,QN03,Queens,"66,184","161,648",61.4,11.8,6.0,0.1,18.5,0.0,0.4,1.8,
CDTA2020,CD,QN04 Elmhurst-Corona (CD 4 Approximation),Elmhurst-Corona (CD 4 Approximation),Elmhurst-Corona,QN04,Queens,"60,527","177,666",53.7,5.9,4.0,0.2,34.4,0.0,0.4,1.3,
CDTA2020,CD,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),Ridgewood-Maspeth-Middle Village (CD 5 Approximation),Ridgewood-Maspeth-Middle Village,QN05,Queens,"80,384","190,915",38.6,48.6,1.4,0.1,9.1,,0.8,1.5,
CDTA2020,CD,QN06 Forest Hills-Rego Park (CD 6 Approximation),Forest Hills-Rego Park (CD 6 Approximation),Forest Hills-Rego Park,QN06,Queens,"90,483","122,786",16.1,45.7,3.2,0.0,30.0,0.0,0.6,4.4,
CDTA2020,CD,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),Flushing-Murray Hill-Whitestone (CD 7 Approximation),Flushing-Murray Hill-Whitestone,QN07,Queens,"63,493","253,104",17.9,25.3,1.7,0.2,53.1,0.1,0.5,1.2,
CDTA2020,CD,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),Fresh Meadows-Hillcrest-Briarwood,QN08,Queens,"75,109","160,231",19.2,30.5,13.2,0.2,32.2,0.0,1.4,3.3,
CDTA2020,CD,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),Kew Gardens-Richmond Hill-Woodhaven,QN09,Queens,"77,665","151,879",41.6,17.6,6.7,0.4,25.9,0.0,4.2,3.7,
CDTA2020,CD,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),South Ozone Park-Howard Beach (CD 10 Approximation),South Ozone Park-Howard Beach,QN10,Queens,"86,247","143,380",25.8,20.2,13.4,0.6,26.0,0.1,8.2,5.8,
CDTA2020,CD,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),Auburndale-Bayside-Douglaston (CD 11 Approximation),Auburndale-Bayside-Douglaston,QN11,Queens,"91,654","126,110",13.9,37.0,2.3,0.4,44.2,0.0,0.3,1.9,
CDTA2020,CD,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),Jamaica-St. Albans-Hollis (CD 12 Approximation),Jamaica-St. Albans-Hollis,QN12,Queens,"70,293","260,024",16.4,2.4,57.5,0.7,14.7,0.1,4.7,3.5,
CDTA2020,CD,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),Queens Village-Bellerose-Rosedale (CD 13 Approximation),Queens Village-Bellerose-Rosedale,QN13,Queens,"97,246","214,163",13.5,9.4,52.6,0.3,18.0,0.0,2.8,3.3,
CDTA2020,CD,QN14 The Rockaways (CD 14 Equivalent),The Rockaways (CD 14 Equivalent),The Rockaways,QN14,Queens,"63,194","135,784",23.3,34.7,34.4,0.0,3.9,0.0,1.1,2.5,
CDTA2020,JIA,QN80 LaGuardia Airport (JIA 80 Approximation),LaGuardia Airport (JIA 80 Approximation),LaGuardia Airport,QN80,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),Flushing Meadows-Corona Park (JIA 81 Approximation),Flushing Meadows-Corona Park,QN81,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN82 Forest Park (JIA 82 Approximation),Forest Park (JIA 82 Approximation),Forest Park,QN82,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN83 JFK International Airport (JIA 83 Approximation),JFK International Airport (JIA 83 Approximation),JFK International Airport,QN83,Queens,,0,,,,,,,,,
CDTA2020,JIA,QN84 Jamaica Bay East (JIA 84 Approximation),Jamaica Bay East (JIA 84 Approximation),Jamaica Bay East,QN84,Queens,"54,998",13,,100.0,,,,,,,
CDTA2020,CD,SI01 North Shore (CD 1 Equivalent),North Shore (CD 1 Equivalent),North Shore,SI01,Staten Island,"77,270","179,530",28.5,37.9,20.9,0.1,9.7,,0.2,2.7,
CDTA2020,CD,SI02 Mid-Island (CD 2 Approximation),Mid-Island (CD 2 Approximation),Mid-Island,SI02,Staten Island,"87,525","142,769",14.3,62.0,4.1,0.2,17.2,,0.2,2.1,
CDTA2020,CD,SI03 South Shore (CD 3 Approximation),South Shore (CD 3 Approximation),South Shore,SI03,Staten Island,"105,254","170,110",11.3,80.7,0.8,0.1,5.4,,0.2,1.5,
CDTA2020,JIA,SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),Great Kills Park-Fort Wadsworth (JIA 95 Approximation),Great Kills Park-Fort Wadsworth,SI95,Staten Island,"84,894",785,28.9,41.3,21.9,,4.6,,0.6,2.7,